Influenciador,fator
Mês: 12 - Local: MA,chuvas
Mês: 8 - Local: MS,chuvas
Mês: 3 - Local: BA: resíduos sólidos da extração do óleo de soja,acumulado ano
"Mês: 4 - Local: PI: Soja, mesmo triturada",acumulado ano
"Mês: 5 - Local: MS: Soja, mesmo triturada",acumulado ano
Mês: 12 - Local: TO,chuvas
Mês: 7 - Local: MT: Milho,acumulado bimestre
"Mês: 8 - Local: TO: Adubos  contendo dois ou três dos seguintes elementos fertilizantes: azoto (nitrogénio), fósforo e potássio  ",acumulado ano
Evolução no tempo,ANO
Evolução no tempo,ANO
"Mês: 11 - Local: MG: Insecticidas, rodenticidas, fungicidas, herbicidas, ...",peso
Mês: 12 - Local: AL: Açúcares de cana ou de beterraba ,peso
